,token,token_count,percent_dist,log_percent_dist
1286,excluding,4,2.137323002938819e-05,-10.753371352212685
1291,line,70,0.00037403152551429336,-7.891170471283216
1295,language,10,5.343307507347048e-05,-9.83708062033853
1297,employed,2,1.0686615014694095e-05,-11.44651853277263
1306,directly,6,3.205984504408229e-05,-10.34790624410452
1307,applied,6,3.205984504408229e-05,-10.34790624410452
1325,Whether,6,3.205984504408229e-05,-10.34790624410452
1326,there,116,0.0006198236708522576,-7.386075522226211
1334,south,40,0.00021373230029388192,-8.450786259218638
1339,nothing,31,0.00016564253272775847,-8.705678508847429
1341,said,46,0.0002457921453379642,-8.31102431684348
1364,admitted,16,8.549292011755276e-05,-9.367076991092794
1370,serious,4,2.137323002938819e-05,-10.753371352212685
1373,More,2,1.0686615014694095e-05,-11.44651853277263
1374,recently,4,2.137323002938819e-05,-10.753371352212685
1392,Still,6,3.205984504408229e-05,-10.34790624410452
1393,later,6,3.205984504408229e-05,-10.34790624410452
1402,had,118,0.0006305102858669517,-7.36898108886691
1404,territorial,24,0.00012823938017632916,-8.961611882984629
